element,name,desc,tooltip,type,value,restrict,multiple,example1,example2,example3,example4
6G,6G_1,Inclusion,Will data be reported if QA/QC metrics exist outside of the established boundaries?,textarea,enter text,NA,NA,All data that fails QA/QC metrics will not be reported.,,,extrainformation
6G,6G_2,Flagging,Do you have a flagging or other reporting system for noting data whose QA/QC metrics exist outside of the established boundaries?,textarea,enter text,NA,NA,All data that fails QA/QC metrics will not be reported.,,,extrainformation
6G,6G_3,Remediation,What will be your remediation steps when data QA/QC metrics exist outside of the established boundaries?,textarea,enter text,NA,NA,The instrument and software must be evaluated and modified to remediate issue.,,,extrainformation
7A,7A_1,Accuracy,How will the accuracy of the data processing method be evaluated? ,textarea,enter text,NA,NA,TPR of the applesauce dataset will be used determine accuracy.,,,extrainformation
7A,7A_2,Precision,How will the precision of the data processing method be evaluated?,textarea,enter text,NA,NA,The RSD (%) of the TPR of the replicate analysis of the applesauce dataset will be used to determine accuracy.,,,extrainformation
7B,7B_1,Accuracy,How will the accuracy of the annotation & identification workflow be evaluated? ,textarea,enter text,NA,NA,TPR of the applesauce dataset will be used determine accuracy.,,,extrainformation
7B,7B_2,Precision,How will the precision of the annotation & identification workflow be evaluated?,textarea,enter text,NA,NA,The RSD (%) of the TPR of the replicate analysis of the applesauce dataset will be used to determine accuracy.,,,extrainformation
7C,7C_1,Accuracy,What are the acceptable boundaries for the accuracy metrics of the data pre-processing and processing method?,textarea,enter text,NA,NA,TPR must be above 80 %,,,extrainformation
7C,7C_2,Precision,What are the acceptable boundaries for the precision metrics of the data pre-processing and processing method?,textarea,enter text,NA,NA,RSD (%) of TPR must be less than or equal to 20 %.,,,extrainformation
7D,7D_1,Accuracy,What are the acceptable boundaries for the accuracy metrics of the annotation & identification workflow?,textarea,enter text,NA,NA,TPR must be above 80 %,,,extrainformation
7D,7D_2,Precision,What are the acceptable boundaries for the precision metrics of the annotation & identification workflow?,textarea,enter text,NA,NA,RSD (%) of TPR must be less than or equal to 20 %.,,,extrainformation
7E,7E_1,Inclusion,Will data be reported if QA/QC metrics exist outside of the established boundaries?,textarea,enter text,NA,NA,All data that fails QA/QC metrics will not be reported.,,,extrainformation
7E,7E_2,Flagging,Do you have a flagging or other reporting system for noting data whose QA/QC metrics exist outside of the established boundaries?,textarea,enter text,NA,NA,All data that fails QA/QC metrics will not be reported.,,,extrainformation
7E,7E_3,Remediation,What will be your remediation steps when data QA/QC metrics exist outside of the established boundaries?,textarea,enter text,NA,NA,The instrument and software must be evaluated and modified to remediate issue.,,,extrainformation
